state,year,total_revenue,prop_tax,gen_sales_tax,select_sales_tax,income_tax,net_corp_income_tax,gift_death_tax,unemployment_tax
Alabama,2010,"$8,811 ",$537 ,$827 ,$549 ,$569 ,$89 ,$0 ,$76 
Alaska,2010,"$21,909 ","$1,787 ",$480 ,$466 ,$0 ,$901 ,$0 ,$185 
Arizona,2010,"$8,450 ","$1,122 ","$1,132 ",$328 ,$377 ,$65 ,$0 ,$52 
Arkansas,2010,"$8,399 ",$597 ,"$1,208 ",$433 ,$716 ,$132 ,$0 ,$105 
California,2010,"$12,147 ","$1,440 ","$1,135 ",$324 ,"$1,223 ",$244 ,$0 ,$139 
Colorado,2010,"$9,760 ","$1,361 ","$1,043 ",$347 ,$810 ,$71 ,$0 ,$84 
Connecticut,2010,"$11,012 ","$2,568 ",$879 ,$621 ,"$1,611 ",$142 ,$47 ,$190 
DC,2010,"$19,253 ","$3,074 ","$1,423 ",$826 ,"$1,831 ",$543 ,$65 ,$230 
Delaware,2010,"$10,926 ",$785 ,$0 ,$526 ,"$1,008 ",$164 ,$0 ,$97 
Florida,2010,"$8,853 ","$1,493 ",$999 ,$596 ,$0 ,$95 ,$0 ,$61 
Georgia,2010,"$7,863 ","$1,088 ",$868 ,$274 ,$722 ,$71 ,$0 ,$65 
Hawaii,2010,"$10,744 ","$1,021 ","$1,812 ",$679 ,"$1,119 ",$59 ,$0 ,$72 
Idaho,2010,"$7,949 ",$862 ,$717 ,$259 ,$680 ,$63 ,$0 ,$128 
Illinois,2010,"$9,839 ","$1,841 ",$663 ,$662 ,$734 ,$209 ,$19 ,$142 
Indiana,2010,"$8,442 ","$1,177 ",$915 ,$417 ,$841 ,$92 ,$21 ,$84 
Iowa,2010,"$10,177 ","$1,385 ",$898 ,$414 ,$900 ,$63 ,$22 ,$136 
Kansas,2010,"$9,210 ","$1,371 ","$1,016 ",$360 ,$941 ,$123 ,$3 ,$107 
Kentucky,2010,"$8,636 ",$688 ,$642 ,$563 ,$967 ,$111 ,$9 ,$99 
Louisiana,2010,"$10,359 ",$755 ,"$1,360 ",$568 ,$503 ,$86 ,$0 ,$41 
Maine,2010,"$9,456 ","$1,776 ",$745 ,$515 ,$981 ,$132 ,$24 ,$94 
Maryland,2010,"$9,927 ","$1,467 ",$648 ,$532 ,"$1,714 ",$154 ,$30 ,$124 
